hidden_dim,num_layers,learning_rate,timesteps,epochs,batch_size,iteration,MAPE,R²
10,1,0.001,5,150,4,2,0.17356543137812788,0.15187391843209608
10,1,0.001,5,150,4,3,0.16769616133525653,0.17631919777241045
10,1,0.001,5,150,8,1,0.14802098798347163,0.3101346624032568
10,1,0.001,5,150,8,2,0.14573107313116332,0.35247998443096473
10,1,0.001,5,150,8,3,0.12263940223998143,0.541393112221854
10,1,0.001,5,150,16,1,0.13698253067148175,0.431758211074628
10,1,0.001,5,150,16,2,0.11755508991508379,0.5722676965035256
10,1,0.001,5,150,16,3,0.2802084531973308,-1.0937090139163206
10,1,0.001,10,50,4,1,0.1548349095828292,0.3219416312827583
10,1,0.001,10,50,4,2,0.15570056523495843,0.28758246136734433
10,1,0.001,10,50,4,3,0.2072362503020572,-0.23151191336291288
10,1,0.001,10,50,8,1,0.1716669897631447,0.1656156331414813
10,1,0.001,10,50,8,2,0.1566328182210319,0.21773329807681052
10,1,0.001,10,50,8,3,0.16801874088765173,0.15978486462021346
10,1,0.001,10,50,16,1,0.1738483127105379,0.12758420180137153
10,1,0.001,10,50,16,2,0.1874340943754111,-0.06646383529973954
10,1,0.001,10,50,16,3,0.18796431456710902,-0.08213107324837732
10,1,0.001,10,100,4,1,0.16311473218858466,0.22068392046715313
10,1,0.001,10,100,4,2,0.17426168277929396,0.11315885927881653
10,1,0.001,10,100,4,3,0.1511451330246616,0.3167329999040591
10,1,0.001,10,100,8,1,0.1534498747381258,0.30926948286824596
10,1,0.001,10,100,8,2,0.12798909569185593,0.4666317393747921
10,1,0.001,10,100,8,3,0.15468736932778981,0.3075152114313343
10,1,0.001,10,100,16,1,0.16356703313208887,0.17733010798288162
10,1,0.001,10,100,16,2,0.15785238274866767,0.26105764401930387
10,1,0.001,10,100,16,3,0.15420452178543345,0.3101040966339573
10,1,0.001,10,150,4,1,0.12468556727590996,0.5046733031417008
10,1,0.001,10,150,4,2,0.16521356921981847,0.19510911152687616
10,1,0.001,10,150,4,3,0.1729262646808766,0.1522820569141724
10,1,0.001,10,150,8,1,0.14583258096152035,0.3361389588600656
10,1,0.001,10,150,8,2,0.17432809338281421,0.15123587810040107
10,1,0.001,10,150,8,3,0.18124807555305902,0.00463283947326687
10,1,0.001,10,150,16,1,0.14271530370046343,0.36052492120611757
10,1,0.001,10,150,16,2,0.1508821521876368,0.3394561990928666
10,1,0.001,10,150,16,3,0.14691485169569163,0.3121629446297214
10,1,0.01,1,50,4,1,0.2714634776781127,-1.1012262815777243
10,1,0.01,1,50,4,2,0.24384771289305357,-0.5039257891232611
10,1,0.01,1,50,4,3,0.27446886125384556,-1.0388197872556315
10,1,0.01,1,50,8,1,0.25422455808874245,-0.851719134069902
10,1,0.01,1,50,8,2,0.2550417431229454,-0.891226060766847
10,1,0.01,1,50,8,3,0.18834862161795451,-0.037055619316502586
10,1,0.01,1,50,16,1,0.21042155685956515,-0.2064012989480346
10,1,0.01,1,50,16,2,0.18813176607717924,-0.05363208013965748
10,1,0.01,1,50,16,3,0.22326516634979587,-0.44799121422286037
10,1,0.01,1,100,4,1,0.23848922784825494,-0.6442520783232719
10,1,0.01,1,100,4,2,0.23374924937904562,-0.6966243854132581
10,1,0.01,1,100,4,3,0.26090015410522704,-0.9089679444354402
10,1,0.01,1,100,8,1,0.22311412241240092,-0.4566054071773753
10,1,0.01,1,100,8,2,0.2869409710061664,-1.2022269247269919
10,1,0.01,1,100,8,3,0.22577971490939047,-0.5431802489455158
10,1,0.01,1,100,16,1,0.25329719966871495,-0.7733094981265798
10,1,0.01,1,100,16,2,0.22321147779893385,-0.47000418110965936
10,1,0.01,1,100,16,3,0.24003457397278982,-0.7481342960530162
10,1,0.01,1,150,4,1,0.2616172974577832,-1.0079258769367847
10,1,0.01,1,150,4,2,0.2622579030655494,-1.0206170374585235
10,1,0.01,1,150,4,3,0.2541428934170633,-0.9250217130374845
10,1,0.01,1,150,8,1,0.19673775933748378,-0.22850926414023043
10,1,0.01,1,150,8,2,0.20739537268762517,-0.3117403875240736
10,1,0.01,1,150,8,3,0.24040854663678596,-0.688025873998902
10,1,0.01,1,150,16,1,0.19988442882982735,-0.13618518834970939
10,1,0.01,1,150,16,2,0.17875879867537,-0.017589093142628798
10,1,0.01,1,150,16,3,0.20420728297664906,-0.22999091196565802
10,1,0.01,5,50,4,1,0.15428264618525386,0.22883899452794243
10,1,0.01,5,50,4,2,0.1880859263996872,-0.01178298855914206
10,1,0.01,5,50,4,3,0.1932268206045181,-0.06821555455687012
10,1,0.01,5,50,8,1,0.20728400485976595,-0.34709811093851206
10,1,0.01,5,50,8,2,0.17585703178785747,0.008851632932268094
10,1,0.01,5,50,8,3,0.1763107891000942,0.20349595182051916
10,1,0.01,5,50,16,1,0.21503985819503593,-0.4232849585323215
10,1,0.01,5,50,16,2,0.2074621448383185,-0.35450736473977495
10,1,0.01,5,50,16,3,0.21068065196614152,-0.18829696725347267
10,1,0.01,5,100,4,1,0.25859570750672134,-0.42844710312387035
10,1,0.01,5,100,4,2,0.17416559807605336,0.15300865559742116
10,1,0.01,5,100,4,3,0.18767467752367978,0.042169154250619956
10,1,0.01,5,100,8,1,0.17207663828109523,0.18004007797482346
10,1,0.01,5,100,8,2,0.19033312355687226,-0.10162281404790097
10,1,0.01,5,100,8,3,0.21816183350390253,-0.44869397457250737
10,1,0.01,5,100,16,1,0.1710267943457726,0.08080572457776702
10,1,0.01,5,100,16,2,0.2094779061781212,-0.22771562650740074
10,1,0.01,5,100,16,3,0.19588361748128322,-0.10673527588545362
10,1,0.01,5,150,4,1,0.22425645047272827,-0.47052277272205667
10,1,0.01,5,150,4,2,0.16595284623343762,0.25379121916244995
10,1,0.01,5,150,4,3,0.16243137985386155,0.14599856658666777
10,1,0.01,5,150,8,1,0.266174180501841,-0.8971880754041319
