hidden_layer_sizes;activation;solver;learning_rate;iteration;MAPE;R�
"(10,)";logistic;sgd;adaptive;3;0,23767400669667552;-0,5411370641674627
"(10,)";logistic;lbfgs;constant;1;0,05504600718084484;0,9237846244602143
"(10,)";logistic;lbfgs;constant;2;0,05504600718084484;0,9237846244602143
"(10,)";logistic;lbfgs;constant;3;0,05504600718084484;0,9237846244602143
"(10,)";logistic;lbfgs;invscaling;1;0,05504600718084484;0,9237846244602143
"(10,)";logistic;lbfgs;invscaling;2;0,05504600718084484;0,9237846244602143
"(10,)";logistic;lbfgs;invscaling;3;0,05504600718084484;0,9237846244602143
"(10,)";logistic;lbfgs;adaptive;1;0,05504600718084484;0,9237846244602143
"(10,)";logistic;lbfgs;adaptive;2;0,05504600718084484;0,9237846244602143
"(10,)";logistic;lbfgs;adaptive;3;0,05504600718084484;0,9237846244602143
"(20,)";relu;adam;constant;1;0,07483130190452202;0,8732311587825825
"(20,)";relu;adam;constant;2;0,07483130190452202;0,8732311587825825
"(20,)";relu;adam;constant;3;0,07483130190452202;0,8732311587825825
"(20,)";relu;adam;invscaling;1;0,07483130190452202;0,8732311587825825
"(20,)";relu;adam;invscaling;2;0,07483130190452202;0,8732311587825825
"(20,)";relu;adam;invscaling;3;0,07483130190452202;0,8732311587825825
"(20,)";relu;adam;adaptive;1;0,07483130190452202;0,8732311587825825
"(20,)";relu;adam;adaptive;2;0,07483130190452202;0,8732311587825825
"(20,)";relu;adam;adaptive;3;0,07483130190452202;0,8732311587825825
"(20,)";relu;sgd;constant;1;0,10426767384741796;0,7649196784901092
"(20,)";relu;sgd;constant;2;0,10426767384741796;0,7649196784901092
"(20,)";relu;sgd;constant;3;0,10426767384741796;0,7649196784901092
"(20,)";relu;sgd;invscaling;1;0,5181628734903894;-3,098823694295567
"(20,)";relu;sgd;invscaling;2;0,5181628734903894;-3,098823694295567
"(20,)";relu;sgd;invscaling;3;0,5181628734903894;-3,098823694295567
"(20,)";relu;sgd;adaptive;1;0,10388672635697312;0,7656341231752414
"(20,)";relu;sgd;adaptive;2;0,10388672635697312;0,7656341231752414
"(20,)";relu;sgd;adaptive;3;0,10388672635697312;0,7656341231752414
"(20,)";relu;lbfgs;constant;1;0,002712027281284921;0,9997198925744964
"(20,)";relu;lbfgs;constant;2;0,002712027281284921;0,9997198925744964
"(20,)";relu;lbfgs;constant;3;0,002712027281284921;0,9997198925744964
"(20,)";relu;lbfgs;invscaling;1;0,002712027281284921;0,9997198925744964
"(20,)";relu;lbfgs;invscaling;2;0,002712027281284921;0,9997198925744964
"(20,)";relu;lbfgs;invscaling;3;0,002712027281284921;0,9997198925744964
"(20,)";relu;lbfgs;adaptive;1;0,002712027281284921;0,9997198925744964
"(20,)";relu;lbfgs;adaptive;2;0,002712027281284921;0,9997198925744964
"(20,)";relu;lbfgs;adaptive;3;0,002712027281284921;0,9997198925744964
"(20,)";tanh;adam;constant;1;0,2451153955942155;-0,39001558554699733
"(20,)";tanh;adam;constant;2;0,2451153955942155;-0,39001558554699733
"(20,)";tanh;adam;constant;3;0,2451153955942155;-0,39001558554699733
"(20,)";tanh;adam;invscaling;1;0,2451153955942155;-0,39001558554699733
"(20,)";tanh;adam;invscaling;2;0,2451153955942155;-0,39001558554699733
"(20,)";tanh;adam;invscaling;3;0,2451153955942155;-0,39001558554699733
"(20,)";tanh;adam;adaptive;1;0,2451153955942155;-0,39001558554699733
"(20,)";tanh;adam;adaptive;2;0,2451153955942155;-0,39001558554699733
"(20,)";tanh;adam;adaptive;3;0,2451153955942155;-0,39001558554699733
"(20,)";tanh;sgd;constant;1;0,24789119534470888;-0,47579049224708125
"(20,)";tanh;sgd;constant;2;0,24789119534470888;-0,47579049224708125
"(20,)";tanh;sgd;constant;3;0,24789119534470888;-0,47579049224708125
"(20,)";tanh;sgd;invscaling;1;0,360687999925499;-1,9195466930481198
"(20,)";tanh;sgd;invscaling;2;0,360687999925499;-1,9195466930481198
"(20,)";tanh;sgd;invscaling;3;0,360687999925499;-1,9195466930481198
"(20,)";tanh;sgd;adaptive;1;0,24703443901259006;-0,46332906043433786
"(20,)";tanh;sgd;adaptive;2;0,24703443901259006;-0,46332906043433786
"(20,)";tanh;sgd;adaptive;3;0,24703443901259006;-0,46332906043433786
"(20,)";tanh;lbfgs;constant;1;0,0703450092010597;0,8408226272305032
"(20,)";tanh;lbfgs;constant;2;0,0703450092010597;0,8408226272305032
"(20,)";tanh;lbfgs;constant;3;0,0703450092010597;0,8408226272305032
"(20,)";tanh;lbfgs;invscaling;1;0,0703450092010597;0,8408226272305032
"(20,)";tanh;lbfgs;invscaling;2;0,0703450092010597;0,8408226272305032
"(20,)";tanh;lbfgs;invscaling;3;0,0703450092010597;0,8408226272305032
"(20,)";tanh;lbfgs;adaptive;1;0,0703450092010597;0,8408226272305032
"(20,)";tanh;lbfgs;adaptive;2;0,0703450092010597;0,8408226272305032
"(20,)";tanh;lbfgs;adaptive;3;0,0703450092010597;0,8408226272305032
"(20,)";logistic;adam;constant;1;0,21281946469540286;-0,22317671143924267
"(20,)";logistic;adam;constant;2;0,21281946469540286;-0,22317671143924267
"(20,)";logistic;adam;constant;3;0,21281946469540286;-0,22317671143924267
"(20,)";logistic;adam;invscaling;1;0,21281946469540286;-0,22317671143924267
"(20,)";logistic;adam;invscaling;2;0,21281946469540286;-0,22317671143924267
"(20,)";logistic;adam;invscaling;3;0,21281946469540286;-0,22317671143924267
"(20,)";logistic;adam;adaptive;1;0,21281946469540286;-0,22317671143924267
"(20,)";logistic;adam;adaptive;2;0,21281946469540286;-0,22317671143924267
"(20,)";logistic;adam;adaptive;3;0,21281946469540286;-0,22317671143924267
"(20,)";logistic;sgd;constant;1;0,20943707200925502;-0,14315704708955734
"(20,)";logistic;sgd;constant;2;0,20943707200925502;-0,14315704708955734
"(20,)";logistic;sgd;constant;3;0,20943707200925502;-0,14315704708955734
"(20,)";logistic;sgd;invscaling;1;1,0753842291603668;-14,248461460271436
"(20,)";logistic;sgd;invscaling;2;1,0753842291603668;-14,248461460271436
"(20,)";logistic;sgd;invscaling;3;1,0753842291603668;-14,248461460271436
"(20,)";logistic;sgd;adaptive;1;0,20663438530940254;-0,12471610227553565
"(20,)";logistic;sgd;adaptive;2;0,20663438530940254;-0,12471610227553565
"(20,)";logistic;sgd;adaptive;3;0,20663438530940254;-0,12471610227553565
"(20,)";logistic;lbfgs;constant;1;0,03879136611983678;0,9540955829045418
"(20,)";logistic;lbfgs;constant;2;0,03879136611983678;0,9540955829045418
"(20,)";logistic;lbfgs;constant;3;0,03879136611983678;0,9540955829045418
