hidden_dim,num_layers,learning_rate,timesteps,epochs,batch_size,iteration,MAPE,R²
10,1,0.001,5,50,4,2,0.14433955829085746,0.43359276172980943
10,1,0.001,5,50,4,3,0.13625749907748227,0.4062896165351748
10,1,0.001,5,50,8,1,0.12031188004441257,0.5630955428843684
10,1,0.001,5,50,8,2,0.1326852753888587,0.4631593592171137
10,1,0.001,5,50,8,3,0.12402427188438797,0.5290341622165786
10,1,0.001,5,50,16,1,0.14323745039267885,0.3932089202672484
10,1,0.001,5,50,16,2,0.1477856150756635,0.3827291355082515
10,1,0.001,5,50,16,3,0.13323592531130432,0.49540453593457456
10,1,0.001,5,100,4,1,0.14571350932489188,0.35634383443499984
10,1,0.001,5,100,4,2,0.16515126516669365,0.1699340598214435
10,1,0.001,5,100,4,3,0.14614689966566088,0.4518390936077804
10,1,0.001,5,100,8,1,0.12698052162773382,0.5133979625662215
10,1,0.001,5,100,8,2,0.13714814675497863,0.44690326261576285
10,1,0.001,5,100,8,3,0.14828600378538007,0.3496775263924685
10,1,0.001,5,100,16,1,0.12260366311340017,0.5436250444083409
10,1,0.001,5,100,16,2,0.12135774146163023,0.5500471395000612
10,1,0.001,5,100,16,3,0.15814634291806762,0.27269131828757887
10,1,0.001,5,150,4,1,0.13552615099233972,0.4446141667301563
10,1,0.001,5,150,4,2,0.15489844725302426,0.2747492495415623
10,1,0.001,5,150,4,3,0.1453723820544079,0.3544347182433901
10,1,0.001,5,150,8,1,0.12050914957839286,0.5264417190578414
10,1,0.001,5,150,8,2,0.12068726637923215,0.5416730348478294
10,1,0.001,5,150,8,3,0.12762179264469822,0.5029488787834651
10,1,0.001,5,150,16,1,0.11974959397041546,0.5464791489806357
10,1,0.001,5,150,16,2,0.15109037915198492,0.32065381119658487
10,1,0.001,5,150,16,3,0.11739501444347795,0.56901198647563
10,1,0.001,10,50,4,1,0.13514865424168182,0.441869900894989
10,1,0.001,10,50,4,2,0.1494926914737983,0.3560750360132364
10,1,0.001,10,50,4,3,0.14245400163704475,0.400548174588628
10,1,0.001,10,50,8,1,0.1478129349243835,0.31161346478788465
10,1,0.001,10,50,8,2,0.11537488093263988,0.5905507774539661
10,1,0.001,10,50,8,3,0.1563977632150902,0.28896035593891267
10,1,0.001,10,50,16,1,0.17031577118740984,0.13243856673950594
10,1,0.001,10,50,16,2,0.16642581337905882,0.15378047864849242
10,1,0.001,10,50,16,3,0.18269642516692022,0.05968263941495122
10,1,0.001,10,100,4,1,0.13970371952608454,0.3744231849605846
10,1,0.001,10,100,4,2,0.15228875331156613,0.3332829930963137
10,1,0.001,10,100,4,3,0.13772460702908393,0.4068858702755975
10,1,0.001,10,100,8,1,0.14521267980474203,0.3704747141273892
10,1,0.001,10,100,8,2,0.1312106986459657,0.5053816478670784
