hidden_dim,num_layers,learning_rate,timesteps,epochs,batch_size,iteration,MAPE,R²
10,2,0.001,10,150,4,1,0.16848841728189395,0.10625875146708119
10,2,0.001,10,150,8,1,0.17255041968273951,0.054394127848560236
10,2,0.001,10,150,16,1,0.18421560720421143,-0.024214783383407434
10,2,0.01,1,50,4,1,0.3017020756532224,-1.4782838199587087
10,2,0.01,1,50,8,1,0.2792057092552405,-1.2489341828272003
10,2,0.01,1,50,16,1,0.2826834924112173,-1.175346556801205
10,2,0.01,1,100,4,1,0.3042768264347196,-1.5457842505679773
10,2,0.01,1,100,8,1,0.3049665769195944,-1.4917333807872821
10,2,0.01,1,100,16,1,0.27036108523365876,-1.1180667202813384
10,2,0.01,1,150,4,1,0.30861401913921105,-1.5940681975677156
10,2,0.01,1,150,8,1,0.290063741176169,-1.3709806990024918
10,2,0.01,1,150,16,1,0.2819975039744084,-1.2507947260012537
10,2,0.01,5,50,4,1,0.3042096506388743,-1.544355757775166
10,2,0.01,5,50,8,1,0.2974921961371673,-1.4217459488762132
10,2,0.01,5,50,16,1,0.26512690595448973,-1.0443497989421564
10,2,0.01,5,100,4,1,0.28381822378745,-1.2586909413850496
10,2,0.01,5,100,8,1,0.2853421040603314,-1.3076040820384605
10,2,0.01,5,100,16,1,0.2646177082791786,-1.06688140286988
10,2,0.01,5,150,4,1,0.2997293038694557,-1.4760973366156755
10,2,0.01,5,150,8,1,0.3119830793864363,-1.6039224625628634
10,2,0.01,5,150,16,1,0.2964308037798399,-1.4609248861356745
10,2,0.01,10,50,4,1,0.30875164980908953,-1.6284550699540117
10,2,0.01,10,50,8,1,0.3020912567551448,-1.44496469688564
10,2,0.01,10,50,16,1,0.29464819166819367,-1.3336002776840665
10,2,0.01,10,100,4,1,0.28528724559683194,-1.3589252313463023
10,2,0.01,10,100,8,1,0.29116938605424575,-1.4097335637611508
10,2,0.01,10,100,16,1,0.2799116890874445,-1.2790253195793038
10,2,0.01,10,150,4,1,0.34117570494477756,-1.9705259840715863
10,2,0.01,10,150,8,1,0.29086788430345867,-1.4110367061042997
10,2,0.01,10,150,16,1,0.2915696716320036,-1.413235233155989
10,2,0.1,1,50,4,1,0.2711011198356424,-0.41779128289196454
10,2,0.1,1,50,8,1,0.518085115288038,-3.8756359495192303
10,2,0.1,1,50,16,1,0.3707841307173999,-2.0616124177669994
10,2,0.1,1,100,4,1,0.4937188641551506,-3.5724473857961874
10,2,0.1,1,100,8,1,0.370121902857757,-2.1463458310387797
10,2,0.1,1,100,16,1,0.42504793647778266,-2.446964454450639
10,2,0.1,1,150,4,1,0.4817083181785396,-3.427534061378907
10,2,0.1,1,150,8,1,0.44299973753259103,-2.9181440991114758
10,2,0.1,1,150,16,1,0.38509448290782067,-1.8031196961288316
10,2,0.1,5,50,4,1,0.47487516590983075,-3.4031660002073494
10,2,0.1,5,50,8,1,0.4049357178662216,-2.6078923662050704
10,2,0.1,5,50,16,1,1.130033903243181,-15.78988089536373
10,2,0.1,5,100,4,1,0.4782855647643016,-3.4365969145708366
10,2,0.1,5,100,8,1,0.3243772308449907,-1.7741183282107116
10,2,0.1,5,100,16,1,0.5218292030660687,-3.9817288462614986
10,2,0.1,5,150,4,1,0.4020427367853133,-2.576840056951149
10,2,0.1,5,150,8,1,0.5394258276557048,-4.213405195761933
10,2,0.1,5,150,16,1,0.6023999112966024,-5.096190670502108
10,2,0.1,10,50,4,1,0.6787216795729489,-6.400955109960409
10,2,0.1,10,50,8,1,0.5073926388544721,-3.945416887576121
10,2,0.1,10,50,16,1,0.5745617754307107,-4.785447111215197
10,2,0.1,10,100,4,1,0.6447018358598071,-5.847519809850628
10,2,0.1,10,100,8,1,0.6328914216044094,-5.661238368395494
10,2,0.1,10,100,16,1,0.5149375288163209,-3.966253866278123
10,2,0.1,10,150,4,1,0.5058634916210045,-4.340641516770583
10,2,0.1,10,150,8,1,0.2978015785489071,-1.418382544723272
10,2,0.1,10,150,16,1,0.5668396264114902,-5.1881843512864405
50,1,0.001,1,50,4,1,0.10225122956507146,0.7204852483140136
50,1,0.001,1,50,8,1,0.08078033644798828,0.8159387615557656
50,1,0.001,1,50,16,1,0.09807616705920706,0.7617267379823406
50,1,0.001,1,100,4,1,0.11795349605489569,0.6749288557524518
50,1,0.001,1,100,8,1,0.07650375443048309,0.8280656740076272
50,1,0.001,1,100,16,1,0.0923334958116887,0.7994565908853006
50,1,0.001,1,150,4,1,0.09974412287677861,0.7272162796573538
50,1,0.001,1,150,8,1,0.08210325341378495,0.8061635797688009
50,1,0.001,1,150,16,1,0.07409520327530637,0.8463258730006162
50,1,0.001,5,50,4,1,0.12089408995171798,0.589288832149377
50,1,0.001,5,50,8,1,0.08937338651512648,0.7663339920555761
50,1,0.001,5,50,16,1,0.08623235693462906,0.806867817107683
50,1,0.001,5,100,4,1,0.12738715924269678,0.46284105784198537
50,1,0.001,5,100,8,1,0.1118021385068437,0.623260371829566
50,1,0.001,5,100,16,1,0.08896788302746905,0.7737068859583986
50,1,0.001,5,150,4,1,0.11759961923795809,0.5246517219073595
50,1,0.001,5,150,8,1,0.09850540099410746,0.6795668468874332
50,1,0.001,5,150,16,1,0.09967321391334194,0.6947336834643112
50,1,0.001,10,50,4,1,0.13288683554961161,0.4586373623611433
50,1,0.001,10,50,8,1,0.076830124229991,0.8170114113999812
50,1,0.001,10,50,16,1,0.09436525522267136,0.7573102159996682
50,1,0.001,10,100,4,1,0.13226951755407543,0.44440663132121405
50,1,0.001,10,100,8,1,0.10082494052783188,0.6865902271404425
50,1,0.001,10,100,16,1,0.07171763969293528,0.8431289227065413
50,1,0.001,10,150,4,1,0.1442976788614532,0.2908073193662224
50,1,0.001,10,150,8,1,0.13365956381202898,0.4247354328398727
50,1,0.001,10,150,16,1,0.08083513673224714,0.7876401139268946
50,1,0.01,1,50,4,1,0.21060334325582755,-0.2699629110559858
50,1,0.01,1,50,8,1,0.20431234095280523,-0.287960239693718
50,1,0.01,1,50,16,1,0.1624274550303795,0.15699106306819366
50,1,0.01,1,100,4,1,0.2952575276482065,-1.2982012657326552
50,1,0.01,1,100,8,1,0.25071981768261364,-0.8393403760867433
50,1,0.01,1,100,16,1,0.22006633176545673,-0.42818790187658684
50,1,0.01,1,150,4,1,0.29508691989907787,-1.4265186536651089
