hidden_dim,num_layers,learning_rate,timesteps,epochs,batch_size,iteration,MAPE,R²
10,1,0.01,5,50,8,2,0.24485876100047485,-0.7731019905857153
10,1,0.01,5,50,8,3,0.21320134319023082,-0.42174657695158047
10,1,0.01,5,50,16,1,0.2154861286613993,-0.38916963127945725
10,1,0.01,5,50,16,2,0.2258757062058655,-0.37474496867486673
10,1,0.01,5,50,16,3,0.21034476380807068,-0.33553085408947547
10,1,0.01,5,100,4,1,0.2748460819292053,-1.190831265418876
10,1,0.01,5,100,4,2,0.2783870352481049,-1.2316364250061582
10,1,0.01,5,100,4,3,0.26156860291040973,-1.0396173734645724
10,1,0.01,5,100,8,1,0.26451577371186474,-1.1158512516117902
10,1,0.01,5,100,8,2,0.2519905664258799,-0.9200598502644939
10,1,0.01,5,100,8,3,0.27123784293809033,-1.0929899500754279
10,1,0.01,5,100,16,1,0.2245304961507967,-0.5651359636558266
10,1,0.01,5,100,16,2,0.21727500603787062,-0.47698207240902213
10,1,0.01,5,100,16,3,0.23154283171930914,-0.6369278103984397
10,1,0.01,5,150,4,1,0.2956845211426182,-1.4516781522448214
10,1,0.01,5,150,4,2,0.27837131774976365,-1.2579683753857887
10,1,0.01,5,150,4,3,0.2758764226615579,-1.2289597836208195
10,1,0.01,5,150,8,1,0.29104145586531105,-1.4101206365128873
10,1,0.01,5,150,8,2,0.270796393895734,-1.133194586508686
10,1,0.01,5,150,8,3,0.303772991848251,-1.4551017116897698
10,1,0.01,5,150,16,1,0.22702967038654367,-0.6139677394336098
10,1,0.01,5,150,16,2,0.25468897455856315,-0.8901283460717342
10,1,0.01,5,150,16,3,0.2599847222545519,-0.908357441213387
10,1,0.01,10,50,4,1,0.28591745696766036,-1.340966853864571
10,1,0.01,10,50,4,2,0.20514488215112608,-0.22182371009397706
10,1,0.01,10,50,4,3,0.24510878592666885,-0.8039082285266901
10,1,0.01,10,50,8,1,0.22767165488438587,-0.5467360589941495
10,1,0.01,10,50,8,2,0.2549585995453908,-0.8841943557176439
10,1,0.01,10,50,8,3,0.22597018703317354,-0.6025368475618542
10,1,0.01,10,50,16,1,0.2048942780169592,-0.351445968304372
10,1,0.01,10,50,16,2,0.21471647940712008,-0.34756721531613355
10,1,0.01,10,50,16,3,0.20020314165827197,-0.14216154733940511
10,1,0.01,10,100,4,1,0.2881309856283332,-1.342388765729042
10,1,0.01,10,100,4,2,0.2713668713554674,-1.1833826600254764
10,1,0.01,10,100,4,3,0.2814585744114422,-1.2592526514909195
10,1,0.01,10,100,8,1,0.2490262047384171,-0.8999363834410667
10,1,0.01,10,100,8,2,0.2843507304141965,-1.3000416487310735
10,1,0.01,10,100,8,3,0.28359110527589115,-1.2669663675764995
10,1,0.01,10,100,16,1,0.24141035864003962,-0.7367647924337064
10,1,0.01,10,100,16,2,0.25398637146559566,-0.9000945773501903
10,1,0.01,10,100,16,3,0.24158521393691837,-0.7648941163512459
10,1,0.01,10,150,4,1,0.15939975831749892,0.13518890015752238
10,1,0.01,10,150,4,2,0.2685262893883672,-1.134313886527349
10,1,0.01,10,150,4,3,0.3223256588986645,-1.693210798070385
10,1,0.01,10,150,8,1,0.27299572761757224,-1.1837823181282108
10,1,0.01,10,150,8,2,0.27912129602841707,-1.238741768804227
10,1,0.01,10,150,8,3,0.2697957521480033,-1.1504915528645898
10,1,0.01,10,150,16,1,0.2249083953288585,-0.5819742568518049
10,1,0.01,10,150,16,2,0.2569955581717842,-0.900014960630662
10,1,0.01,10,150,16,3,0.22282071589603245,-0.5588884059677393
10,1,0.1,1,50,4,1,0.2622692589961432,-0.793742281775915
10,1,0.1,1,50,4,2,0.5394025800490043,-4.187623304062474
10,1,0.1,1,50,4,3,0.34763987068964597,-1.993730196303725
